"turn","move","pawn_strength","houdini_rank"
0,"start",0,0
1,"e4",0.12,0
1.5,"e5",0.22,0
2,"Nf3",0.17,0
2.5,"Nc6",0.15,0
3,"d4",0.01,3
3.5,"exd4",0.07,0
4,"Nxd4",0.07,0
4.5,"Nf6",0.02,0
5,"Nc3",-0.03,1
5.5,"Bb4",-0.07,0
6,"Nxc6",0,0
6.5,"bxc6",0,0
7,"Bd3",-0.01,0
7.5,"O-O",0,1
8,"O-O",0,0
8.5,"d5",0,0
9,"exd5",0,1
9.5,"cxd5",0,0
10,"h3",-0.05,2
10.5,"c6",0,1
11,"Qf3",0,0
11.5,"Bd6",0,0
12,"Re1",0,3
12.5,"h6",0.08,3
13,"Bf4",0.07,0
13.5,"Bxf4",0.15,2
14,"Qxf4",0.15,0
14.5,"Be6",0.19,1
15,"Ne2",0.02,3
15.5,"Qb8",0.09,1
16,"b3",0.09,0
16.5,"Qxf4",0.18,2
17,"Nxf4",0.14,0
17.5,"Rfe8",0.14,1
18,"Nxe6",0.12,0
18.5,"fxe6",0.24,1
19,"Bg6",0.27,0
19.5,"Re7",0.25,0
20,"c4",0.21,0
20.5,"Nd7",0.29,3
21,"Rac1",0.2,2
21.5,"Nf8",0.25,1
22,"Bd3",0.22,0
22.5,"Kf7",0.28,3
23,"cxd5",0.25,0
23.5,"cxd5",0.22,0
24,"b4",0.15,3
24.5,"Nd7",0.2,2
25,"Rc6",0.16,0
25.5,"Nf6",0.26,3
26,"a4",0.26,0
26.5,"e5",0.41,2
27,"f3",0.44,0
27.5,"Rd8",0.46,0
28,"Kf2",0.35,3
28.5,"e4",0.31,0
29,"fxe4",0.19,2
29.5,"dxe4",0.37,1
30,"Bc4+",0.35,0
30.5,"Kg6",0.47,1
31,"Ke3",0.27,3
31.5,"Kh7",0.43,2
32,"Rc5",0.26,3
32.5,"Red7",0.62,2
33,"a5",0.46,0
33.5,"Rd2",0.47,0
34,"Re2",0.57,0
34.5,"Rd1",0.49,0
35,"a6",0.38,3
35.5,"Nd7",0.79,3
36,"Rc7",0.91,0
36.5,"Ne5",1.52,1
37,"Be6",1.18,3
37.5,"Kg6",1.01,1
38,"Rxa7",0.98,0
38.5,"R1d6",1.72,2
39,"Ba2",1.47,0
39.5,"Nc6",2.46,3
40,"Rb7",1.25,1
40.5,"Rd3+",2.36,1
41,"Kf2",1.24,1
41.5,"Nd4",2.32,0
42,"Bf7+",1.22,0
42.5,"Kf5",1.46,0
43,"Re1",1.5,0
43.5,"Rd2+",2.75,2
44,"Kg1",2.94,0
44.5,"Kf4",3.39,1
45,"Bc4",3.7,0
45.5,"g6",5.42,3
46,"a7",4.38,1
46.5,"Kg3",9.33,3
47,"Bf1",9.42,0
47.5,"Nf3+",10.61,1
48,"gxf3",10.34,0
48.5,"exf3",10.62,0
49,"Rf7",10.38,1